cor,vazao,pressao,altura,distancia_pontas,angulo_real,cv,vazao_real
Marrom,1.8925,4,50,50,105.46,6.714492618,2.15
Marrom,1.8925,4,50,50,105.37,6.899324208,2.15
Marrom,1.8925,4,50,50,105.71,6.795349948,2.15
,,,,,,,
Marrom,1.8925,3,50,50,100.63,6.059702247,1.92
Marrom,1.8925,3,50,50,100.14,6.197275852,1.92
Marrom,1.8925,3,50,50,100.79,6.290507241,1.92
,,,,,,,
Marrom,1.8925,2,50,50,95.47,3.979538569,1.57
Marrom,1.8925,2,50,50,95.5,4.293143909,1.57
Marrom,1.8925,2,50,50,94.53,4.213848562,1.58
,,,,,,,
Vermelha,1.514,4,50,50,103.46,7.209488022,1.81
Vermelha,1.514,4,50,50,103.96,6.987133221,1.81
Vermelha,1.514,4,50,50,104.12,5.735256287,1.82
,,,,,,,
Vermelha,1.514,3,50,50,100.11,5.564307559,1.54
Vermelha,1.514,3,50,50,100.53,6.030705495,1.54
Vermelha,1.514,3,50,50,100.53,6.258244986,1.54
,,,,,,,
Vermelha,1.514,2,50,50,94.44,7.793122647,1.27
Vermelha,1.514,2,50,50,94.96,7.678020076,1.26
Vermelha,1.514,2,50,50,94.62,8.025235141,1.27
,,,,,,,
Azul,1.1355,4,50,50,103.45,2.472817873,1.36
Azul,1.1355,4,50,50,103.86,2.541955637,1.35
Azul,1.1355,4,50,50,103.93,2.690408585,1.35
,,,,,,,
Azul,1.1355,3,50,50,100.26,3.094477726,1.17
Azul,1.1355,3,50,50,100.46,4.16093864,1.18
Azul,1.1355,3,50,50,100.13,3.895581772,1.18
,,,,,,,
Azul,1.1355,2,50,50,94.13,4.804461718,0.96
Azul,1.1355,2,50,50,94.39,4.654709739,0.96
Azul,1.1355,2,50,50,95.15,4.64201603,0.95
,,,,,,,
Amarela,0.757,4,50,50,103.43,5.014571513,0.91
Amarela,0.757,4,50,50,103.52,5.559908424,0.9
Amarela,0.757,4,50,50,104.32,5.671732329,0.9
,,,,,,,
Amarela,0.757,3,50,50,99.23,5.239631599,0.79
Amarela,0.757,3,50,50,100.26,5.239332483,0.78
Amarela,0.757,3,50,50,100.69,5.111930335,0.78
,,,,,,,
Amarela,0.757,2,50,50,95.77,6.559482899,0.63
Amarela,0.757,2,50,50,95.55,7.569733557,0.63
Amarela,0.757,2,50,50,95.47,6.976850621,0.63
,,,,,,,
Verde,0.56775,4,50,50,89.63,6.927937816,0.7
Verde,0.56775,4,50,50,89.91,5.587400876,0.7
Verde,0.56775,4,50,50,89.7,5.475576432,0.7
,,,,,,,
Verde,0.56775,3,50,50,83.73,6.183169116,0.6
Verde,0.56775,3,50,50,83.33,6.976388667,0.6
Verde,0.56775,3,50,50,83.23,7.638498726,0.6
,,,,,,,
